,CRRA,DiscFac,RiskyAvg,RiskyStd,PermShkStd,TranShkStd,solved,linear_root,cons_at_root,share_at_root,srle1
0,4.0,0.85,1.04,0.1,0.0,0.0,1,1.4554636365277995,1.0175178321741463,1.0,0.9984478188518532
1,4.0,0.85,1.04,0.1,0.0,0.1,1,1.473426584759332,1.018208714798436,1.0,0.9984478188518532
2,4.0,0.85,1.04,0.1,0.0,0.2,1,1.532809555725942,1.0204926752202286,1.0,0.9984478188518532
3,4.0,0.85,1.04,0.1,0.1,0.0,1,1.6439012966779707,1.0247654344876143,1.0,0.9984478188518532
4,4.0,0.85,1.04,0.1,0.1,0.1,1,1.672770714359116,1.0258757967061198,1.0,0.9984478188518532
5,4.0,0.85,1.04,0.1,0.1,0.2,1,1.762459999493285,1.0293253845958956,1.0,0.9984478188518532
6,4.0,0.85,1.04,0.1,0.2,0.0,1,8.450068987251196,1.286541114894278,1.0,0.9984478188518532
7,4.0,0.85,1.04,0.1,0.2,0.1,1,8.470011030762848,1.287308116567802,1.0,0.9984478188518532
8,4.0,0.85,1.04,0.1,0.2,0.2,1,8.530297389294805,1.289626822665186,1.0,0.9984478188518532
9,4.0,0.85,1.04,0.2,0.0,0.0,1,1.447514357209355,1.0172120906618984,1.0,0.9984478188518532
10,4.0,0.85,1.04,0.2,0.0,0.1,1,1.466136543331415,1.0179283285896699,1.0,0.9984478188518532
11,4.0,0.85,1.04,0.2,0.0,0.2,1,1.5259777684260205,1.0202299141702316,1.0,0.9984478188518532
12,4.0,0.85,1.04,0.2,0.1,0.0,1,1.6309092056228813,1.0242657386778031,1.0,0.9984478188518532
13,4.0,0.85,1.04,0.2,0.1,0.1,1,1.6580887017339625,1.0253111039128446,1.0,0.9984478188518532
14,4.0,0.85,1.04,0.2,0.1,0.2,1,1.7439106138036862,1.0286119466847572,1.0,0.9984478188518532
15,4.0,0.85,1.04,0.2,0.2,0.0,1,9.147489092445495,1.2235417436865434,0.7053200792906739,0.9984478188518532
16,4.0,0.85,1.04,0.2,0.2,0.1,1,9.157334449403562,1.223483591251084,0.7042587408182074,0.9984478188518532
17,4.0,0.85,1.04,0.2,0.2,0.2,1,9.186538297221729,1.2232918880746766,0.7010585050841889,0.9984478188518532
18,4.0,0.85,1.04,0.3,0.0,0.0,1,1.426636584611113,1.0127296646452102,0.7688078093119156,0.9984478188518532
19,4.0,0.85,1.04,0.3,0.0,0.1,1,1.44406771198033,1.0131075543462849,0.7605149125712577,0.9984478188518532
20,4.0,0.85,1.04,0.3,0.0,0.2,1,1.497904992331283,1.0141332146135107,0.7303818573864415,0.9984478188518532
21,4.0,0.85,1.04,0.3,0.1,0.0,1,1.5919726054685208,1.0189282093759802,0.8258094326924398,0.9984478188518532
22,4.0,0.85,1.04,0.3,0.1,0.1,1,1.615956785347471,1.0195263116306086,0.8184858933173126,0.9984478188518532
23,4.0,0.85,1.04,0.3,0.1,0.2,1,1.69136674078289,1.021299253740957,0.7946734140984673,0.9984478188518532
24,4.0,0.85,1.04,0.3,0.2,0.0,1,7.706001202597287,1.0919783221047876,0.34769319532366594,0.9984478188518532
25,4.0,0.85,1.04,0.3,0.2,0.1,1,7.716210256045073,1.091952216967431,0.34705690963079994,0.9984478188518532
26,4.0,0.85,1.04,0.3,0.2,0.2,1,7.747054788252214,1.0918735114969074,0.34514238195085734,0.9984478188518532
27,4.0,0.85,1.05,0.1,0.0,0.0,1,1.4782461254153303,1.0227736250197776,1.0,0.9984478188518532
28,4.0,0.85,1.05,0.1,0.0,0.1,1,1.4976116779622095,1.0236957941886766,1.0,0.9984478188518532
29,4.0,0.85,1.05,0.1,0.0,0.2,1,1.5607129663821018,1.0267006174467668,1.0,0.9984478188518532
30,4.0,0.85,1.05,0.1,0.1,0.0,1,1.700028431326697,1.0333346872060334,1.0,0.9984478188518532
31,4.0,0.85,1.05,0.1,0.1,0.1,1,1.7328679999569163,1.0348984761884248,1.0,0.9984478188518532
32,4.0,0.85,1.05,0.1,0.1,0.2,1,1.834928943717841,1.0397585211294211,1.0,0.9984478188518532
33,4.0,0.85,1.05,0.1,0.2,0.0,1,8.87209925641232,1.3748618693529677,1.0,0.9984478188518532
34,4.0,0.85,1.05,0.1,0.2,0.1,1,8.895075991736787,1.3759559996065132,1.0,0.9984478188518532
35,4.0,0.85,1.05,0.1,0.2,0.2,1,8.96433263409084,1.379253934956708,1.0,0.9984478188518532
36,4.0,0.85,1.05,0.2,0.0,0.0,1,1.469730889563222,1.0223681375982487,1.0,0.9984478188518532
37,4.0,0.85,1.05,0.2,0.0,0.1,1,1.4897753286506696,1.023322634697651,1.0,0.9984478188518532
38,4.0,0.85,1.05,0.2,0.0,0.2,1,1.5529742395804353,1.0263321066466875,1.0,0.9984478188518532
39,4.0,0.85,1.05,0.2,0.1,0.0,1,1.6834938782856574,1.0325473275374124,1.0,0.9984478188518532
40,4.0,0.85,1.05,0.2,0.1,0.1,1,1.7140893876613568,1.034004256555303,1.0,0.9984478188518532
41,4.0,0.85,1.05,0.2,0.1,0.2,1,1.810360361997213,1.038588588666534,1.0,0.9984478188518532
42,4.0,0.85,1.05,0.2,0.2,0.0,1,11.130640579638692,1.3965487870990816,0.8148076924462971,0.9984478188518532
43,4.0,0.85,1.05,0.2,0.2,0.1,1,11.139860936717282,1.3964469863337787,0.8138215854762287,0.9984478188518532
44,4.0,0.85,1.05,0.2,0.2,0.2,1,11.167015483938561,1.3961251736702227,0.8108780628445965,0.9984478188518532
45,4.0,0.85,1.05,0.3,0.0,0.0,1,1.4568301376218926,1.020898681244723,0.9586874605364769,0.9984478188518532
46,4.0,0.85,1.05,0.3,0.0,0.1,1,1.4754273052559745,1.0216651405883803,0.9549846164416202,0.9984478188518532
47,4.0,0.85,1.05,0.3,0.0,0.2,1,1.5338554888938876,1.0234076809946735,0.9172823388045258,0.9984478188518532
48,4.0,0.85,1.05,0.3,0.1,0.0,1,1.6568710017079131,1.0312795715099006,1.0,0.9984478188518532
49,4.0,0.85,1.05,0.3,0.1,0.1,1,1.6859169520946824,1.0326627120045087,1.0,0.9984478188518532
50,4.0,0.85,1.05,0.3,0.1,0.2,1,1.7776210756305857,1.037029575030028,1.0,0.9984478188518532
51,4.0,0.85,1.05,0.3,0.2,0.0,1,8.358194734661065,1.1517618881573695,0.4212103990097034,0.9984478188518532
52,4.0,0.85,1.05,0.3,0.2,0.1,1,8.368084751050793,1.1517162963926197,0.4205003718001626,0.9984478188518532
53,4.0,0.85,1.05,0.3,0.2,0.2,1,8.39809191103563,1.151584995337497,0.41837350421208147,0.9984478188518532
54,4.0,0.85,1.06,0.1,0.0,0.0,1,1.5030726337288651,1.0284758094563509,1.0,0.9984478188518532
55,4.0,0.85,1.06,0.1,0.0,0.1,1,1.5238550745771486,1.0296521740326687,1.0,0.9984478188518532
56,4.0,0.85,1.06,0.1,0.0,0.2,1,1.5912312323202216,1.0334659188105788,1.0,0.9984478188518532
57,4.0,0.85,1.06,0.1,0.1,0.0,1,1.772984559141015,1.0437538429702462,1.0,0.9984478188518532
58,4.0,0.85,1.06,0.1,0.1,0.1,1,1.8105820021362535,1.0458820001209201,1.0,0.9984478188518532
59,4.0,0.85,1.06,0.1,0.1,0.2,1,1.928247810834543,1.052542328915163,1.0,0.9984478188518532
60,4.0,0.85,1.06,0.1,0.2,0.0,1,9.405856087091658,1.4758031747410374,1.0,0.9984478188518532
61,4.0,0.85,1.06,0.1,0.2,0.1,1,9.432265263854092,1.4772980338030621,1.0,0.9984478188518532
62,4.0,0.85,1.06,0.1,0.2,0.2,1,9.511640800742928,1.4817909887212992,1.0,0.9984478188518532
63,4.0,0.85,1.06,0.2,0.0,0.0,1,1.4942657227340663,1.0279773050604188,1.0,0.9984478188518532
64,4.0,0.85,1.06,0.2,0.0,0.1,1,1.5151732934119382,1.0291607524572794,1.0,0.9984478188518532
65,4.0,0.85,1.06,0.2,0.0,0.2,1,1.5827509777046216,1.032985904398375,1.0,0.9984478188518532
66,4.0,0.85,1.06,0.2,0.1,0.0,1,1.7481766738116002,1.0423496230459397,1.0,0.9984478188518532
67,4.0,0.85,1.06,0.2,0.1,0.1,1,1.7832316576449905,1.0443338674138674,1.0,0.9984478188518532
68,4.0,0.85,1.06,0.2,0.1,0.2,1,1.892830562736865,1.0505375790228413,1.0,0.9984478188518532
69,4.0,0.85,1.06,0.2,0.2,0.0,1,14.623939102342224,1.686874339574136,0.8849370444758204,0.9984478188518532
70,4.0,0.85,1.06,0.2,0.2,0.1,1,14.63206988716911,1.686715375564138,0.8841647350744076,0.9984478188518532
71,4.0,0.85,1.06,0.2,0.2,0.2,1,14.656558755290117,1.686255902683956,0.8818693016376971,0.9984478188518532
72,4.0,0.85,1.06,0.3,0.0,0.0,1,1.4816658320074223,1.0272641036985333,1.0,0.9984478188518532
73,4.0,0.85,1.06,0.3,0.0,0.1,1,1.5032223016168567,1.0284842812235957,1.0,0.9984478188518532
74,4.0,0.85,1.06,0.3,0.0,0.2,1,1.570087534258493,1.0322691057127449,1.0,0.9984478188518532
75,4.0,0.85,1.06,0.3,0.1,0.0,1,1.71297474884937,1.0403570612556248,1.0,0.9984478188518532
